id,rsc29,inversa,inversa a informarnte,captacion
1,"[{""section_id"": ""1"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""1"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",1,2
2,"[{""section_id"": ""2"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""2"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",2,3
3,"[{""section_id"": ""3"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""3"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",3,4
4,"[{""section_id"": ""4"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""4"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",4,5
5,"[{""section_id"": ""5"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""5"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",5,6
6,"[{""section_id"": ""6"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""6"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",6,7
7,"[{""section_id"": ""7"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""7"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",7,8
8,"[{""section_id"": ""8"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""8"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",8,9
9,"[{""section_id"": ""9"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""10"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",10,10
10,"[{""section_id"": ""10"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""11"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",11,11
11,"[{""section_id"": ""11"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""12"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",12,12
12,"[{""section_id"": ""12"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""13"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",13,13
13,"[{""section_id"": ""13"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""14"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",14,14
14,"[{""section_id"": ""14"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""15"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",15,15
15,"[{""section_id"": ""15"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""16"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",16,16
16,"[{""section_id"": ""16"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""17"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",17,17
17,"[{""section_id"": ""17"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""18"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",18,18
